mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3.246222972869873,0.35839126884114636,0.03337678909301758,0.0018747919199799366,logistic,0.00031622776601683794,"(178, 178)",0.008,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (178, 178), 'MLP__learning_rate_init': 0.008}",0.9212996389891697,0.9280343716433942,0.9484391441599438,0.9549738219895287,0.9416725228390723,0.9388838999242218,0.012529031876259693,559,0.9752552344696314,0.9830450419592397,0.9788913677707225,0.985655737704918,0.9899093552249016,0.9825513474258827,0.005111750530177001
3.97350754737854,0.8117490454259003,0.03237924575805664,0.0013499910981660298,logistic,0.00031622776601683794,"(178, 178)",0.016,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (178, 178), 'MLP__learning_rate_init': 0.016}",0.8832144198272625,0.907427735089645,0.9560975609756098,0.9502996122664787,0.9561312607944732,0.9306341177906937,0.02990781458473468,1074,0.9787012987012987,0.9947974413646057,0.9888406167475936,0.9900854700854702,0.9904050267470494,0.9885659707292035,0.005327464993106838
2.697498846054077,0.2914936444727606,0.031366491317749025,0.0007909302787091635,logistic,0.00031622776601683794,"(178, 178)",0.032,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (178, 178), 'MLP__learning_rate_init': 0.032}",0.9169387014871236,0.9158540989526905,0.9398443029016277,0.9597780859916781,0.9393620750087627,0.9343554528683766,0.016414306809950648,859,0.98,0.9814432989690722,0.9848679148499615,0.979268817204301,0.9819395703158437,0.9815039202678356,0.0019373893429764687
1.463731336593628,0.6349495928073259,0.03148655891418457,0.000802366907938742,logistic,0.00031622776601683794,"(178, 178)",0.064,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (178, 178), 'MLP__learning_rate_init': 0.064}",0.0,0.0,0.9079042784626541,0.0,0.0,0.1815808556925308,0.3631617113850617,2845,0.0,0.0,0.9403011514614704,0.0,0.0,0.18806023029229407,0.37612046058458815
2.0716365337371827,0.8511158805201948,0.03132719993591308,0.0008076105150000258,logistic,0.00031622776601683794,"(178, 178)",0.128,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (178, 178), 'MLP__learning_rate_init': 0.128}",0.0,0.9261698440207972,0.0,0.9267271458478716,0.9237228831350595,0.5553239746007457,0.4534212531014286,2517,0.0,0.9565437515821449,0.0,0.92782965354743,0.9519703371561611,0.5672687484571471,0.46327576509835094
0.7680325984954834,0.010611674204873882,0.026475000381469726,0.0021401817126069345,logistic,0.00031622776601683794,"(89, 89)",1e-06,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (89, 89), 'MLP__learning_rate_init': 1e-06}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.301597833633423,0.9736910733002482,0.023932600021362306,0.00228505498521193,logistic,0.00031622776601683794,"(89, 89)",0.001,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (89, 89), 'MLP__learning_rate_init': 0.001}",0.775974025974026,0.0,0.47545219638242886,0.5357142857142858,0.7659925711927362,0.5106266158526954,0.28221523381495905,2551,0.8370377559933999,0.0,0.576715126757179,0.5500674102218409,0.8181368181368182,0.5563914222218476,0.30242271004604276
3.043811321258545,1.1961094705640116,0.022259855270385744,0.0018511847951858756,logistic,0.00031622776601683794,"(89, 89)",0.002,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (89, 89), 'MLP__learning_rate_init': 0.002}",0.920532182668105,0.9157667386609071,0.7833537331701346,0.8152866242038216,0.7996801279488205,0.8469238813303578,0.05904502187389175,2062,0.9824561403508772,0.977640178878569,0.8531187122736418,0.8115826260609087,0.8525279556532543,0.8954651226434504,0.07070115846616815
2.999591255187988,0.2124234294568379,0.0217954158782959,0.000863298505814686,logistic,0.00031622776601683794,"(89, 89)",0.004,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (89, 89), 'MLP__learning_rate_init': 0.004}",0.907427735089645,0.9177489177489178,0.9329027628274129,0.9219653179190751,0.9095532146749001,0.9179195896519903,0.009175704517136294,1573,0.9784371226496462,0.9833247378373732,0.9839278040395358,0.9771626297577856,0.9730103806228374,0.9791725349814356,0.004059706122782191
1.9501237869262695,0.27398775267105613,0.021814823150634766,0.001210893868779222,logistic,0.00031622776601683794,"(89, 89)",0.008,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (89, 89), 'MLP__learning_rate_init': 0.008}",0.9319558247239046,0.9127906976744184,0.9298998569384835,0.9294964028776979,0.9250720461095101,0.925842965664803,0.006901145307918401,1309,0.9809450568230368,0.9773786910723538,0.9727030052527341,0.9550343854699348,0.9903394032657946,0.9752801083767707,0.011660264227846074
