mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.002592611312866211,0.00045940451296116563,0.11268301010131836,0.0061613434722451324,manhattan,34,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 34, 'KNN__weights': 'uniform'}",0.6705020118796705,0.6324487449703008,0.6314523855144664,0.6369620106778713,0.6149220361197308,0.6372632139500362,0.018227409387715186,35,0.6373819338349044,0.6535292535047514,0.6572435934392205,0.6590361496356493,0.6448716857037318,0.6504125232236515,0.008139307104037093
0.002499818801879883,0.0004969497257640741,0.10648913383483886,0.003842791812012616,manhattan,37,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 37, 'KNN__weights': 'uniform'}",0.6838953822571374,0.644711630580571,0.6324487449703009,0.6466520825703986,0.6334878476572287,0.648243307679865,0.01872901958314673,30,0.6411689391100477,0.66334267773582,0.6615915030795692,0.664489717106494,0.6589581944131292,0.6579102062890121,0.008575802709293995
0.002954244613647461,0.0001345442326304068,0.10974903106689453,0.00433852884141553,manhattan,40,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 40, 'KNN__weights': 'uniform'}",0.6724468288944243,0.6156160183943284,0.6293255412914351,0.6237977757647012,0.614406452980745,0.6311246574156588,0.021378489443879208,39,0.6263968560529628,0.6407389524660575,0.6471226927252985,0.6520795455090596,0.6487094812739562,0.6430095056054668,0.009086354510694361
0.002695798873901367,0.0005081072359115183,0.10991787910461426,0.001563951538517288,manhattan,43,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 43, 'KNN__weights': 'uniform'}",0.678013029315961,0.6342594366736923,0.6255700325732899,0.6310448509145575,0.6162519515062737,0.6370346899359006,0.02138567325575415,36,0.6327265477117023,0.6497650687498198,0.6504028422357384,0.655449609744163,0.654977380992358,0.6486642898867563,0.008296283371353195
0.002903461456298828,0.00040943141598009534,0.11120319366455078,0.003920203946322721,manhattan,46,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 46, 'KNN__weights': 'uniform'}",0.653171105575781,0.6156160183943284,0.6213163441272274,0.6310448509145575,0.6039020488406607,0.6250139207495272,0.016595123362966948,42,0.6247183467373862,0.6284056623716044,0.6401552275806405,0.6384955481571386,0.6472367272238827,0.6358023024141305,0.008179388219543988
0.0029204368591308595,0.00022323183380273782,0.10727686882019043,0.002819529001455736,manhattan,49,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 49, 'KNN__weights': 'uniform'}",0.6531711055757807,0.6126748419237402,0.6226288561027016,0.6256432742902298,0.6090048763564173,0.6246283175039478,0.015537048536708835,43,0.6286590902539563,0.6403816311627416,0.6494617960470054,0.6436978599492452,0.6472843998407315,0.641896955450736,0.007307967022105498
0.0029381275177001952,0.00046530842988591094,0.11023287773132324,0.0034292625254010085,euclidean,1,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.7585169572715079,0.771910327648975,0.754445296033723,0.7515033826108743,0.7690380278704008,0.7610832128317856,0.008036083901784502,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.002666139602661133,0.0004095850386531583,0.11058006286621094,0.0014078167957438357,euclidean,4,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.698285112090439,0.6819505652423836,0.6714983713355048,0.6584864020970259,0.6501262455910413,0.6720784066604708,0.017035946637316116,10,0.7711516195362871,0.7691157889173945,0.744652791790378,0.7470676843221253,0.7586461336608252,0.758126803645402,0.010904370184840924
0.002892589569091797,0.00013367784237806586,0.10815119743347168,0.002844549068597432,euclidean,7,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.7338091588426902,0.7029507568499713,0.6877466947691129,0.6744453867355396,0.6792494651427249,0.6956498855596508,0.021404438822575422,4,0.7658458485870494,0.7671171917788475,0.761244511064349,0.7725986193530436,0.7665040200908598,0.7666620381748299,0.0036191406725804513
0.002617168426513672,0.00042071768068808855,0.1109095573425293,0.004448574118784144,euclidean,10,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.708919333205595,0.6705499137765856,0.648783291818356,0.6493119133434843,0.6447246689667134,0.6644667264850703,0.02399627300103743,14,0.7051516723838075,0.7062194325137162,0.7163943818281399,0.7176950559598566,0.7097205365238207,0.7110362158418682,0.005149958443744498
